run_id,task_id,status,score,cost_usd,tokens_in,tokens_out,cache_hit,cache_miss,turns,max_turns,wall_sec,llm_wall_sec_db,llm_wall_sec_recompute,bash_total_sec,qe_bash_db,qe_self_db,qe_wall_real,qe_derived,harness_residual,n_turns_seen,n_with_llm_wall,n_out_files,gpu_util_p50,gpu_util_p95,gpu_util_max,mem_util_p95,mem_used_p95_mib,power_p95_w,temp_max,throttle_count,n_gpu_samples,bottleneck
2026-05-10T07-22-35Z_M1_T1_GaP_vc_relax,M1_T1_GaP_vc_relax,done,1.0,0.019851273792093702,372231,12348,354688,17543,20,100,556.5,429.25654108729213,429.25654108729213,126.60000000000001,125.53999999999999,61.91,60.1,126.18345891270785,66.08345891270785,20,20,1,37.0,72.0,99.0,18.0,5105.0,194.34,32.0,0,222,compute
2026-05-10T07-26-13Z_M1_T1_GaSb_vc_relax,M1_T1_GaSb_vc_relax,done,1.0,0.018064099560761347,384999,11736,370432,14567,27,100,496.42,423.36584538873285,423.36584538873285,72.41,71.7,64.76,64.0,72.34415461126717,8.344154611267172,27,27,1,36.0,72.0,99.0,18.0,5085.0,190.72,32.0,0,200,compute
2026-05-10T07-31-52Z_M1_T1_Ga_vc_relax,M1_T1_Ga_vc_relax,done,1.0,0.050665095168374814,2621767,28690,2585344,36423,82,100,6835.08,1089.412455148995,1089.412455148995,5744.85,5743.59,1902.53,1899.7,5744.407544851005,3844.707544851005,82,82,2,48.0,97.0,99.0,16.0,12027.0,193.12,36.0,0,2730,compute
2026-05-10T07-34-31Z_M1_T1_Ge_vc_relax,M1_T1_Ge_vc_relax,done,1.0,0.12574825768667644,667791,7137,399104,268687,13,100,439.9,265.2383836982772,265.2383836982772,174.04,174.01999999999998,171.87,168.9,174.6416163017228,5.741616301722786,13,13,1,51.0,98.0,99.0,12.0,5873.0,182.28,32.0,0,176,compute
2026-05-10T07-41-52Z_M1_T1_InP_vc_relax,M1_T1_InP_vc_relax,done,1.0,0.01850471449487555,319224,10980,301568,17656,20,100,543.94,388.47522848472,388.47522848472,154.83,154.12,149.17000000000002,147.0,154.75477151528005,7.754771515280055,20,20,2,51.0,98.0,99.0,23.0,6967.0,198.87,33.0,0,216,compute
2026-05-10T07-50-57Z_M1_T1_InSb_vc_relax,M1_T1_InSb_vc_relax,done,1.0,0.02963543191800878,766566,19828,744960,21606,35,100,1597.64,710.9676073696464,710.9676073696464,885.99,884.5,473.0,466.4,885.1823926303537,418.7823926303537,35,35,1,51.0,87.0,99.0,8.0,9220.0,159.94,32.0,0,638,compute
2026-05-10T08-09-17Z_M1_T1_KBr_vc_relax,M1_T1_KBr_vc_relax,done,1.0,0.04640424597364568,1728139,26514,1689600,38539,58,100,3834.09,977.6583476318046,977.6583476318046,2855.690000000001,2839.6699999999996,150.05,1009.1999999999999,2840.411652368194,1831.2116523681943,58,58,2,48.0,98.0,99.0,14.0,13269.0,188.05,36.0,0,1532,compute
2026-05-10T08-17-36Z_M1_T1_KCl_vc_relax,M1_T1_KCl_vc_relax,done,1.0,0.017328667642752562,294880,8041,273792,21088,17,100,598.0,297.87047165911645,297.87047165911645,299.49999999999994,298.45,294.28,291.6,299.0795283408836,7.479528340883576,17,17,1,65.0,87.0,98.0,8.0,9568.0,154.8,32.0,0,238,compute
2026-05-10T08-27-35Z_M1_T1_KF_vc_relax,M1_T1_KF_vc_relax,done,1.0,0.020191976573938508,373394,8029,346368,27026,19,100,553.71,292.2554847113788,292.2554847113788,260.83,259.62,256.66,254.5,260.24451528862124,5.744515288621244,19,19,1,55.0,98.0,99.0,6.0,13273.0,146.82,32.0,0,220,compute
2026-05-10T08-36-50Z_M1_T1_LiAlO2_vc_relax,M1_T1_LiAlO2_vc_relax,done,1.0,0.011344392386530015,176943,6695,165888,11055,19,100,791.74,243.82488313596696,243.82488313596696,547.3,531.65,523.35,521.0,532.2651168640331,11.265116864033075,19,19,1,51.0,90.0,99.0,5.0,13293.0,150.62,32.0,0,318,compute
